NO,식품명,1회제공량,에너지(㎉),탄수화물(g),단백질(g),지방(g),총 포화 지방산(g),총당류(g),총 식이섬유(g),칼슘(㎎),철(㎎),마그네슘(㎎),나트륨(㎎),콜레스테롤(㎎)
7368,양파홍초절임,80,56.87,12.64,0.55,0.46,0,0,0,0,0,0,30.64,-
7369,유부초절임,37,34.32,6.11,1.45,0.46,0,0,0,0,0,0,4.22,-
7370,완두콩과 당근을 넣은 감자요거트샐러드,53,43.5,8.22,1.58,0.48,0,0,0,0,0,0,13.01,-
7371,마늘칩 감자샐러드,55,80.12,10.18,1.19,3.85,0,0,0,0,0,0,51.78,-
7372,단호박견과류샐러드,70,100.79,15.96,2.91,2.81,0,0,0,0,0,0,14.11,-
7373,치즈두부샐러드,65,104.06,7.87,6.2,5.31,0,0,0,0,0,0,101.08,-
7374,코울슬로샐러드,49,38.47,3.65,0.61,2.38,0,0,0,0,0,0,69.58,-
7375,연근샐러드 & 흑임자소스,20,28.76,3.82,0.69,1.19,0,0,0,0,0,0,4.9,-
7376,고구마순나물,35,50.18,2.13,1.59,3.99,0,0,0,0,0,0,94.33,-
7377,비름나물 된장무침,35,24.63,2.5,1.21,1.09,0,0,0,0,0,0,47.95,-
7378,아욱 된장무침,23,11.26,1.16,0.9,0.34,0,0,0,0,0,0,142.6,-
7379,톳나물 두부무침,50,42.18,0.9,3.57,2.7,0,0,0,0,0,0,39.9,-
7380,채소 초밥,280,393.26,87.64,7.59,1.37,0,0,0,0,0,0,144.48,-
7381,홍시에이드,101,42.14,10.3,0.18,0.02,0,0,0,0,0,0,2.06,-
7382,클래식치즈피자,241,685,77.65,37.38,24.58,10.29,11.98,0,0,0,0,995.81,-
7383,햄앤체다피자,221,597,72.66,28.88,21.35,9.44,13.13,0,0,0,0,963.76,-
7384,고르곤졸라피자,229,695,78.3,35.01,27.09,16.3,9.14,0,0,0,0,965.21,-
7385,페파로니,267,746,83.68,35.32,29.74,13.27,19.38,0,0,0,0,1275.91,-
7386,페파로니매니아피자,283,816,85.32,38.12,35.97,15.88,13.27,0,0,0,0,1512.55,-
7387,청양페파로니피자,272,751,83.48,34.6,31.47,13.57,22.28,0,0,0,0,1298.72,-
7388,하와이안피자,292,672,90.11,33.08,19.86,9.17,26.48,0,0,0,0,1018.12,-
7389,슈퍼콤비네이션피자,256,626,79,27.62,22.4,10.32,12.47,0,0,0,0,954.7,-
7390,고구마피자,297,721,95.07,28.78,25.07,10.48,27.09,0,0,0,0,1043.81,-
7391,베이컨포테이토피자,292,747,91.51,33.81,27.19,11.59,17.23,0,0,0,0,1046,-
7392,불고기피자,260,670,77.87,30.94,26.42,13.42,12.58,0,0,0,0,942.5,-
7393,부라타치즈피자,251,619,73.02,30.25,22.94,10.17,11.22,0,0,0,0,1076.16,-
7394,나폴리슈림프피자,274,593,80.09,29.73,16.52,4.96,15.86,0,0,0,0,1004.48,-
7395,디아볼라피자,262,626,76.45,30.94,22.45,9.22,15.64,0,0,0,0,1062.54,-
7396,토마토파스타,331,346,68.98,13.44,2.32,0.4,11.39,0,0,0,0,714.76,-
7397,까브로나라파스타,339,565,69.97,14.71,24.61,17.32,4.78,0,0,0,0,680.64,-
7398,알리오올리오파스타,302,465,75.2,12.38,13.47,2.17,7.94,0,0,0,0,1197.64,-
7399,미트소스파스타,335,491,71.46,17.92,14.91,4.05,10.65,0,0,0,0,617.41,-
7400,새우필라프,253,438,77.47,9.72,9.56,2.68,1.85,0,0,0,0,754.55,-
7401,불고기필라프,259,465,85.19,11.42,9.25,1.35,3.16,0,0,0,0,1062.18,-
7402,버팔로윙오리지날,70,171,3.66,14.38,10.64,1.96,2.27,0,0,0,0,494.12,-
7403,버팔로윙데리야끼,76,169,8.15,13.59,9.09,2.02,4.42,0,0,0,0,554.63,-
7404,순살치킨앤프라이,160,432,46.11,17.46,20.03,3.52,0.58,0,0,0,0,686.53,-
7405,치킨텐더,97,239,17.01,18.05,10.94,1.91,0,0,0,0,0,824.99,-
7406,치즈스틱,44,135,10.82,6.81,7.42,1.73,0.57,0,0,0,0,256.2,-
7407,이탈리안샐러드,146,102,10.04,2.29,6.29,0.5,4.19,0,0,0,0,251.94,-
