NO,식품명,1회제공량(g),에너지(㎉),탄수화물(g),단백질(g),지방(g),총 포화 지방산(g),총당류(g),총 식이섬유(g),칼슘(㎎),철(㎎),마그네슘(㎎),나트륨(㎎),콜레스테롤(㎎)
36,열무김치,40,10.71,0.86,0.72,0.49,0.02,0.17,0.88,45.27,0.04,14.72,194.47,0
37,오이소박이,100,32.38,4.43,1.73,0.86,0.07,3.4,1.94,23.21,0.48,21.11,541.03,0
20,육개장,440,130.33,6.54,16.21,4.37,0.75,3.33,5.25,72.71,2.45,40.95,884.24,47.8
76,잡곡밥,200,292.6,58.65,10.59,1.74,0.44,0.64,12.19,34.6,2.65,70.62,5.29,0
65,잡채,200,291.15,48.52,9.41,6.6,1.09,1.45,7.35,72.16,3.3,36.88,719.68,45.31
115,장조림,100,68.76,4.84,10.41,0.86,0.43,1,0.75,8.31,1.11,14.49,543.47,20.21
38,총각김치,70,22.89,3.57,0.98,0.52,0.03,1.34,1.83,30.07,0.36,17.1,332,0.12
139,추어탕,350,188.33,10.74,11.33,11.12,1.08,0,7.72,473.83,2.87,60.84,861.28,55.44
21,콩나물국,400,24.66,2.44,2.95,0.35,0.12,0.65,1.64,37.97,0.32,33.73,874.4,2.93
66,콩나물무침,50,34.54,1.6,1.93,2.27,0.24,0.25,0.85,26.23,0.29,14.47,193.59,0
25,콩자반,30,84.27,10.45,5.39,2.32,0.2,1.06,4.68,27.2,1,26.65,260.31,0
104,호박전,150,208.1,16.1,6.48,13.09,2.34,2.85,6.87,47.99,0,28.94,276.95,92.52
153,볶음밥,260,584.71,62.99,17.22,29.32,5.72,0.44,4.56,47.71,1.15,30.54,827.6,162.85
